algorithm,vertices,edges,runtime_ms,graph_memory_bytes,extra_memory_bytes,total_memory_bytes,note
Dijkstra,10000,11316,0.000416,466320,261056,727376,
Bellman-Ford,10000,11316,0.018166,466320,80000,546320,
Dijkstra,50000,55112,4.1e-05,2302240,1281792,3584032,
Bellman-Ford,50000,55112,0.047834,2302240,400000,2702240,
Dijkstra,100000,114064,8.4e-05,4681280,2625024,7306304,
Bellman-Ford,100000,114064,0.099,4681280,800000,5481280,
Dijkstra,200000,226786,0.000916,9335720,5228576,14564296,
Bellman-Ford,200000,226786,0.204834,9335720,1600000,10935720,
Dijkstra,500000,548046,0.0005,22960920,12768736,35729656,
Bellman-Ford,500000,548046,0.51075,22960920,4000000,26960920,
Dijkstra,1000000,1084742,0.002625,45694840,25355872,71050712,
Bellman-Ford,1000000,1084742,2.09429,45694840,8000000,53694840,
Dijkstra,2758119,6885658,181.868,203908016,132235480,336143496,
Bellman-Ford,2758119,6885658,19458.4,203908016,22064952,225972968,
